L1,L2,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,TRANS_PROF,TRANS_PROB,URBAN_PROF,URBAN_PROB,LAT,LONG
Buenos Aires,Bahía Blanca,Argentina,487,0.2131,77.6599,2644.8742,5.1337,76.6491,1.03276100408774,3.67248519190013,939.28779884952,144.004054171924,3.41100582258248,4,0.993348423684885,1,0.999269868,-38.5853169702967,-62.1706249182144
Buenos Aires,Comuna 12,Argentina,1,0.0642,1557.18,1557.18,1.4735,0.0,1.01062700271496,102.376534902792,18590.8308356557,99.8916096223053,3.61910519951632,3,0.99999989976345,4,1.0,-34.5680948294152,-58.4910368124922
Buenos Aires,Comuna 13,Argentina,13,0.8836,1264.0834,1359.9129,2.5395,60.0462,1.02610849163386,90.5714527745612,16060.2592063537,98.4546292497182,3.47383112351709,1,0.999999786467414,3,0.995172462,-34.5564456490851,-58.4547287961362
Buenos Aires,Comuna 4,Argentina,8,0.3611,1990.2022,2091.1138,2.2122,67.1673,1.02710094458938,79.5774179234776,14502.0145477246,104.423094241491,3.36175847457627,1,0.999999616720497,4,0.580107537,-34.6435755352241,-58.3881277966008
Buenos Aires,Comuna 6,Argentina,1,0.146,684.9,684.9,1.2914,0.0,1.00576424025686,83.1470409328252,15379.2585596035,106.145509976454,3.52596314907872,1,0.999999844018822,4,1.0,-34.6187342698568,-58.4443190717368
Buenos Aires,Comuna 7,Argentina,7,0.5639,1106.3997,1166.2599,2.145,60.0694,1.01629376812366,103.894899563004,18143.3774612067,99.4603212400596,3.45434623813002,3,0.999999861337417,4,0.53068919,-34.6384490078252,-58.4526397103585
Buenos Aires,Comuna 14,Argentina,11,0.676,1395.209,1498.1159,2.15,60.0138,1.02587691277581,74.4586637445235,12662.1858467799,97.6920789448876,3.21570066030814,1,0.999998500158684,3,0.857592511,-34.5754064419445,-58.4226180941807
Buenos Aires,Comuna 2,Argentina,3,0.4756,599.2624,614.5202,2.4513,108.1727,1.03545453741858,66.4707144553252,13214.2902246631,116.613750240439,3.40748898678414,1,0.999997925273824,4,0.999987543,-34.5877959074651,-58.3954722472048
Buenos Aires,Comuna 5,Argentina,1,0.1501,666.36,666.36,1.3815,0.0,1.00097576784952,74.5920867152244,15291.6147733337,115.88147816556,3.7120315581854,1,0.999999215548949,4,1.0,-34.619260665473,-58.4213216498695
Buenos Aires,Comuna 15,Argentina,1,0.0698,1432.98,1432.98,1.5336,0.0,1.01760255098356,101.481946407508,17379.3676783438,95.8584862606096,3.51398828887443,3,0.999999842203257,4,1.0,-34.5937737678165,-58.4635245714838
Buenos Aires,Comuna 3,Argentina,1,0.1567,638.01,638.01,1.1361,0.0,1.00215422552313,73.4215295266757,15797.1667061842,119.814998048424,3.77542372881355,1,0.999998992656262,4,1.0,-34.6157339428091,-58.403399655469
Buenos Aires,Comuna 1,Argentina,9,0.4958,1120.3671,1414.4143,2.3688,60.0248,1.02125756974374,84.5973705694283,14366.5387890457,96.019109855719,3.37688139674894,1,0.999999560562234,3,0.836691756,-34.6078757795351,-58.3721555387982
Buenos Aires,Almirante Brown,Argentina,72,0.5577,5365.4112,8238.0015,4.53,61.2989,1.00689337181398,62.3347463569305,12149.78104486,109.306752598276,3.41606954070245,1,0.999997441740032,5,1.0,-34.8367139977676,-58.3675979380448
Buenos Aires,Avellaneda,Argentina,32,0.5591,3417.2147,4356.9864,3.0293,60.571,1.01879555124613,71.2069573258598,13464.9650915702,106.822490797239,3.36603860294117,1,0.999999399914851,5,0.949182812,-34.6785404171355,-58.3412095762458
Buenos Aires,Berazategui,Argentina,176,0.7996,1215.63,4639.446,2.4932,62.5616,1.024248342059,27.3256873936802,5823.53395314542,120.566272523631,3.35436137071651,4,0.928649876332129,3,0.994791976,-34.818952992385,-58.1553430078285
Buenos Aires,Berisso,Argentina,72,0.4949,217.3327,1704.7864,5.8011,63.2306,1.02818016657446,13.6727750479154,3027.78067954515,126.63126676385,3.24483233807992,3,0.999767133340434,3,0.997734662,-34.9111284142573,-57.8290466308304
Buenos Aires,Comuna 10,Argentina,1,0.0807,1239.3,1239.3,1.6596,0.0,1.00835919954645,110.519146532265,18956.2618407429,97.3435364048028,3.5644128113879,3,0.999999629873114,4,1.0,-34.6298111359459,-58.5030250282798
Buenos Aires,Comuna 11,Argentina,1,0.0715,1397.7,1397.7,1.772,0.0,1.00276804772973,106.913437071146,18807.9303117842,98.3009697324536,3.67729083665338,3,0.999999881354064,4,1.0,-34.608107964787,-58.4973157586287
Buenos Aires,Comuna 8,Argentina,93,4.3047,465.6634,738.5208,2.5488,60.4632,1.02638706486947,73.2076676410377,13770.1492109255,110.69461369791,3.24310041103934,1,0.999999502308508,3,0.999999999,-34.675854213035,-58.4621245093988
Buenos Aires,Comuna 9,Argentina,4,0.2538,1531.4872,1551.6932,1.775,84.8549,1.00499681305162,102.317197519404,18322.6786576375,102.113188967181,3.59462759462759,3,0.999999514531919,4,0.999905155,-34.6533246972395,-58.498993422913
Buenos Aires,Cañuelas,Argentina,396,0.3328,4.1791,364.234,3.7226,107.5962,1.0418723555699,1.87801642981962,868.642331137261,262.628959600765,3.20209339774557,3,0.976352168207526,1,0.999973911,-35.1465167503513,-58.6910789792324
